file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
REU23_13_8_XY.jpg,oak,132,na,734,482,118,34.5,116.5,zz
REU23_14_1_XY.jpg,oak,132,na,735,477,130,36.5,117.5,zz
REU23_14_2_XY.jpg,oak,132,na,736,35,124,480.5,110.5,zz
REU23_14_3_XY.jpg,oak,132,na,737,34,109,481.5,102.5,zz
REU23_14_4_XY.jpg,oak,132,na,738,33.5,123.5,477.5,139.5,zz
REU23_14_5_XY.jpg,oak,132,na,739,36,140,479.5,146.5,zz
REU23_14_6_XY.jpg,oak,132,na,740,38,106,483.5,92.5,zz
REU23_14_7_XY.jpg,oak,132,na,741,37,129,479.5,129.5,zz
REU23_14_8_XY.jpg,oak,132,na,742,480,120,39.5,135.5,zz
REU23_15_1_XY.jpg,oak,132,na,743,481,75,37.5,67.5,zz
REU23_15_2_XY.jpg,oak,132,na,744,38,84,478.5,86.5,zz
REU23_15_3_XY.jpg,oak,132,na,745,36,74,480.5,74.5,zz
REU23_15_4_XY.jpg,oak,132,na,746,481,129,33.5,116.5,zz
REU23_15_5_XY.jpg,oak,132,na,747,37,120,482.5,117.5,zz
REU23_15_6_XY.jpg,oak,132,na,748,36,80,481.5,85.5,zz
REU23_15_7_XY.jpg,oak,132,na,749,483,113,36.5,94.5,zz
REU23_15_8_XY.jpg,oak,132,na,750,36,91,481.5,94.5,zz
REU23_16_1_XY.jpg,oak,132,na,751,480,131,38.5,106.5,zz
REU23_16_2_XY.jpg,oak,132,na,752,482,106,30.5,110.5,zz
REU23_16_3_XY.jpg,oak,132,na,753,482,114,31.5,94.5,zz
REU23_16_4_XY.jpg,oak,132,na,754,480,121,31.5,116.5,zz
REU23_16_5_XY.jpg,oak,132,na,755,485,103,33.5,119.5,zz
REU23_16_6_XY.jpg,oak,132,na,756,483,129,38.5,133.5,zz
REU23_16_7_XY.jpg,oak,132,na,757,480,128,37.5,125.5,zz
REU23_16_8_XY.jpg,oak,132,na,758,481,102,35.5,101.5,zz
REU23_17_1_XY.jpg,oak,132,na,759,34,79,481.5,83.5,zz
REU23_17_2_XY.jpg,oak,132,na,760,36,95,477.5,102.5,zz
REU23_17_3_XY.jpg,oak,132,na,761,32,109,480.5,104.5,zz
REU23_17_4_XY.jpg,oak,132,na,762,37,85,481.5,90.5,zz
REU23_17_5_XY.jpg,oak,132,na,763,482,86,34.5,99.5,zz
REU23_17_6_XY.jpg,oak,132,na,764,35,90,483.5,76.5,zz
REU23_17_7_XY.jpg,oak,132,na,765,482,102,35.5,98.5,zz
REU23_17_8_XY.jpg,oak,132,na,766,481,138,34.5,113.5,zz
REU23_18_1_XY.jpg,oak,132,na,767,34,100,481.5,127.5,zz
REU23_18_2_XY.jpg,oak,132,na,768,33,140,483.5,135.5,zz
REU23_18_3_XY.jpg,oak,132,na,769,32,271,475.5,164.5,zz
REU23_18_4_XY.jpg,oak,132,na,770,35,100,481.5,131.5,zz
REU23_18_5_XY.jpg,oak,132,na,771,482,159,43.5,153.5,zz
REU23_18_6_XY.jpg,oak,132,na,772,481,126,30.5,139.5,zz
REU23_18_7_XY.jpg,oak,132,na,773,33,124,480.5,114.5,zz
REU23_18_8_XY.jpg,oak,132,na,774,481,144,40.5,215.5,zz
REU23_19_1_XY.jpg,oak,132,na,775,37,98,479.5,98.5,zz
REU23_19_2_XY.jpg,oak,132,na,776,483,113,31.5,123.5,zz
REU23_19_3_XY.jpg,oak,132,na,777,483,126,32.5,125.5,zz
REU23_19_4_XY.jpg,oak,132,na,778,32,85,479.5,83.5,zz
REU23_19_5_XY.jpg,oak,132,na,779,35,104,480.5,86.5,zz
REU23_19_6_XY.jpg,oak,132,na,780,32,122,482.5,129.5,zz
REU23_19_7_XY.jpg,oak,132,na,781,37,93,482.5,86.5,zz
REU23_19_8_XY.jpg,oak,132,na,782,486,94,33.5,91.5,zz
REU23_21_1_XY.jpg,oak,132,na,783,479,87,33.5,99.5,zz
REU23_21_2_XY.jpg,oak,132,na,784,483,113,33.5,113.5,zz
REU23_21_3_XY.jpg,oak,132,na,785,482,113,33.5,116.5,zz
REU23_21_4_XY.jpg,oak,132,na,786,485,105,34.5,115.5,zz
REU23_21_5_XY.jpg,oak,132,na,787,483,108,33.5,98.5,zz
REU23_21_6_XY.jpg,oak,132,na,788,482,87,34.5,76.5,zz
REU23_21_7_XY.jpg,oak,132,na,789,482,147,35.5,136.5,zz
REU23_21_8_XY.jpg,oak,132,na,790,481,116,33.5,105.5,zz
REU23_22_1_XY.jpg,oak,132,na,791,482,152,31.5,183.5,zz
REU23_22_2_XY.jpg,oak,132,na,792,479,172,33.5,158.5,zz
REU23_22_3_XY.jpg,oak,132,na,793,484,126,31.5,120.5,zz
REU23_22_4_XY.jpg,oak,132,na,794,480,147,35.5,114.5,zz
REU23_22_5_XY.jpg,oak,132,na,795,481,131,34.5,166.5,zz
REU23_22_6_XY.jpg,oak,132,na,796,483,153,34.5,129.5,zz
REU23_22_7_XY.jpg,oak,132,na,797,482,113,29.5,109.5,zz
REU23_22_8_XY.jpg,oak,132,na,798,483,146,34.5,144.5,zz
REU23_24_1_XY.jpg,oak,132,na,799,35,112,476.5,107.5,zz
REU23_24_2_XY.jpg,oak,132,na,800,36,105,480.5,101.5,zz
REU23_24_3_XY.jpg,oak,132,na,801,485,94,33.5,91.5,zz
REU23_24_4_XY.jpg,oak,132,na,802,482,104,32.5,108.5,zz
REU23_24_5_XY.jpg,oak,132,na,803,480,135,32.5,128.5,zz
REU23_24_6_XY.jpg,oak,132,na,804,31,122,481.5,122.5,zz
REU23_24_7_XY.jpg,oak,132,na,805,485,104,34.5,102.5,zz
REU23_24_8_XY.jpg,oak,132,na,806,486,111,31.5,131.5,zz
REU23_25_1_XY.jpg,oak,132,na,807,485,120,36.5,128.5,zz
REU23_25_2_XY.jpg,oak,132,na,808,480,146,35.5,162.5,zz
REU23_25_3_XY.jpg,oak,132,na,809,482,134,34.5,129.5,zz
REU23_25_4_XY.jpg,oak,132,na,810,482,100,29.5,104.5,zz
REU23_25_5_XY.jpg,oak,132,na,811,482,104,34.5,127.5,zz
REU23_25_6_XY.jpg,oak,132,na,812,485,125,31.5,111.5,zz
REU23_25_7_XY.jpg,oak,132,na,813,483,152,31.5,138.5,zz
REU23_25_8_XY.jpg,oak,132,na,814,483,122,31.5,123.5,zz
REU23_26_1_XY.jpg,oak,132,na,815,480,157,35.5,167.5,zz
REU23_26_2_XY.jpg,oak,132,na,816,481,156,33.5,127.5,zz
REU23_26_3_XY.jpg,oak,132,na,817,34,101,481.5,95.5,zz
REU23_26_4_XY.jpg,oak,132,na,818,481,103,35.5,108.5,zz
REU23_26_5_XY.jpg,oak,132,na,819,34,84,482.5,104.5,zz
REU23_26_6_XY.jpg,oak,132,na,820,480,158,30.5,113.5,zz
REU23_26_7_XY.jpg,oak,132,na,821,479,113,32.5,108.5,zz
REU23_26_8_XY.jpg,oak,132,na,822,482,103,31.5,110.5,zz
REU23_27_1_XY.jpg,oak,132,na,823,481,149,33.5,196.5,zz
REU23_27_2_XY.jpg,oak,132,na,824,480,168,31.5,179.5,zz
REU23_27_3_XY.jpg,oak,132,na,825,479,121,36.5,126.5,zz
REU23_27_4_XY.jpg,oak,132,na,826,485,176,31.5,186.5,zz
REU23_27_5_XY.jpg,oak,132,na,827,483,126,32.5,124.5,zz
REU23_27_6_XY.jpg,oak,132,na,828,476,127,33.5,146.5,zz
REU23_27_7_XY.jpg,oak,132,na,829,484,142,32.5,120.5,zz
REU23_27_8_XY.jpg,oak,132,na,830,483,150,38.5,179.5,zz
REU23_28_leaf1.jpg,oak,132,na,831,479,137,32.5,126.5,zz
REU23_28_leaf2.jpg,oak,132,na,832,482,140,32.5,154.5,zz
REU23_28_leaf3.jpg,oak,132,na,833,480,179,34.5,195.5,zz
REU23_28_leaf4.jpg,oak,132,na,834,483,155,34.5,159.5,zz
REU23_28_leaf5.jpg,oak,132,na,835,483,155,34.5,159.5,zz
REU23_28_leaf6.jpg,oak,132,na,836,481,147,37.5,180.5,zz
REU23_28_leaf7.jpg,oak,132,na,837,484,146,35.5,156.5,zz
REU23_28_leaf8.jpg,oak,132,na,838,477,134,33.5,150.5,zz
REU23_29_leaf1.jpg,oak,132,na,839,481,149,34.5,163.5,zz
REU23_29_leaf2.jpg,oak,132,na,840,481,148,36.5,148.5,zz
REU23_29_leaf3.jpg,oak,132,na,841,482,136,32.5,120.5,zz
REU23_29_leaf4.jpg,oak,132,na,842,479,198,35.5,174.5,zz
REU23_29_leaf5.jpg,oak,132,na,843,484,125,39.5,118.5,zz
REU23_29_leaf6.jpg,oak,132,na,844,476,171,37.5,152.5,zz
REU23_29_leaf7.jpg,oak,132,na,845,480,126,34.5,136.5,zz
REU23_29_leaf8.jpg,oak,132,na,846,482,153,33.5,152.5,zz
REU23_2_1_XY.jpg,oak,132,na,847,32,133,478.5,129.5,zz
REU23_2_2_XY.jpg,oak,132,na,848,32,87,482.5,88.5,zz
REU23_2_3_XY.jpg,oak,132,na,849,35,121,479.5,118.5,zz
REU23_2_4_XY.jpg,oak,132,na,850,36,136,480.5,126.5,zz
REU23_2_5_XY.jpg,oak,132,na,851,33,142,476.5,90.5,zz
REU23_2_6_XY.jpg,oak,132,na,852,33,106,480.5,118.5,zz
REU23_2_7_XY.jpg,oak,132,na,853,33,111,480.5,124.5,zz
REU23_2_8_XY.jpg,oak,132,na,854,34,109,481.5,110.5,zz
REU23_30_leaf1.jpg,oak,132,na,855,484,119,29.5,113.5,zz
REU23_30_leaf2.jpg,oak,132,na,856,480,164,33.5,162.5,zz
REU23_30_leaf3.jpg,oak,132,na,857,480,106,31.5,131.5,zz
REU23_30_leaf4.jpg,oak,132,na,858,480,112,31.5,108.5,zz
REU23_30_leaf5.jpg,oak,132,na,859,481,108,30.5,98.5,zz
REU23_30_leaf6.jpg,oak,132,na,860,482,103,34.5,128.5,zz
REU23_30_leaf7.jpg,oak,132,na,861,480,145,33.5,119.5,zz
REU23_30_leaf8.jpg,oak,132,na,862,481,119,34.5,109.5,zz
REU23_31_leaf1.jpg,oak,132,na,863,480,96,35.5,83.5,zz
REU23_31_leaf2.jpg,oak,132,na,864,483,103,34.5,108.5,zz
REU23_31_leaf3.jpg,oak,132,na,865,483,103,34.5,108.5,zz
REU23_31_leaf4.jpg,oak,132,na,866,482,105,35.5,104.5,zz
REU23_31_leaf5.jpg,oak,132,na,867,31,137,481.5,128.5,zz
REU23_31_leaf6.jpg,oak,132,na,868,478,110,33.5,110.5,zz
REU23_31_leaf7.jpg,oak,132,na,869,485,147,34.5,162.5,zz
REU23_31_leaf8.jpg,oak,132,na,870,478,139,33.5,135.5,zz
REU23_32_leaf1.jpg,oak,132,na,871,37,139,482.5,148.5,zz
REU23_32_leaf2.jpg,oak,132,na,872,480,186,34.5,148.5,zz
REU23_32_leaf3.jpg,oak,132,na,873,480,180,35.5,169.5,zz
REU23_32_leaf4.jpg,oak,132,na,874,481,159,36.5,158.5,zz
REU23_32_leaf5.jpg,oak,132,na,875,481,137,32.5,133.5,zz
REU23_32_leaf6.jpg,oak,132,na,876,483,147,33.5,134.5,zz
REU23_32_leaf7.jpg,oak,132,na,877,34,175,482.5,166.5,zz
REU23_32_leaf8.jpg,oak,132,na,878,483,161,33.5,163.5,zz
